course_id,title,category,level,description,tags
1,MDCAT Entry Test Preparation,Medical,Intermediate,"Comprehensive preparation for MDCAT with past papers, biology, physics, and chemistry.","mdcat, medical, entry test, biology, chemistry, physics"
2,NUMS Entry Test Crash Course,Medical,Intermediate,Fast-track preparation for NUMS medical entry test with tips and tricks.,"nums, medical, crash course, entry test"
3,ECAT Engineering Entry Test,Engineering,Intermediate,"Prepare for ECAT with practice tests in maths, physics and computer science.","ecat, engineering, entry test, physics, maths"
4,NTS General Test Preparation,General Test,Graduate,"Prepare for NTS General test with English, Maths, and Analytical Reasoning.","nts, general, test, english, maths, analytical"
5,CSS Compulsory Subjects Masterclass,CSS,Advanced,"In-depth CSS preparation with Pakistan Studies, Current Affairs, and Essay Writing.","css, compulsory, pakistan studies, current affairs, essay"
6,9th Class Physics Full Course,Matric,Beginner,Video lectures and notes for 9th class physics as per Punjab Board.,"9th, matric, physics, punjab board"
7,10th Class Mathematics,Matric,Beginner,Complete 10th class maths with solved examples and exercises.,"10th, matric, maths, punjab board"
8,Freelancing for Beginners,Freelancing,Beginner,Learn how to start freelancing on Fiverr and Upwork.,"freelancing, fiverr, upwork, earning"
9,English Grammar & Essay Writing,Language,Intermediate,Improve grammar and essay writing for exams like CSS and MDCAT.,"english, grammar, essay, css, mdcat"
10,Typing Speed and MS Office,Computer Skills,Beginner,Basic computer literacy including typing and Microsoft Office.,"typing, ms word, excel, computer basics"
11,Chemistry Crash Course,Freelancing,Beginner,Chemistry Crash Course course focused on Pakistani syllabus and exam preparation.,"chemistry, crash, course"
12,Physics MCQs Practice,Freelancing,Advanced,Physics MCQs Practice course focused on Pakistani syllabus and exam preparation.,"physics, mcqs, practice"
13,Analytical Reasoning,Language,Advanced,Analytical Reasoning course focused on Pakistani syllabus and exam preparation.,"analytical, reasoning"
14,Spoken English Basic,Engineering,Intermediate,Spoken English Basic course focused on Pakistani syllabus and exam preparation.,"spoken, english, basic"
15,Advanced Freelancing Tips,CSS,Intermediate,Advanced Freelancing Tips course focused on Pakistani syllabus and exam preparation.,"advanced, freelancing, tips"
16,Web Development Basics,Matric,Advanced,Web Development Basics course focused on Pakistani syllabus and exam preparation.,"web, development, basics"
17,Pre-Medical Biology,Matric,Advanced,Pre-Medical Biology course focused on Pakistani syllabus and exam preparation.,"pre-medical, biology"
18,Essay Writing for Exams,General Test,Beginner,Essay Writing for Exams course focused on Pakistani syllabus and exam preparation.,"essay, writing, for, exams"
19,Current Affairs 2025,General Test,Advanced,Current Affairs 2025 course focused on Pakistani syllabus and exam preparation.,"current, affairs, 2025"
20,Basic ICT Skills,Freelancing,Advanced,Basic ICT Skills course focused on Pakistani syllabus and exam preparation.,"basic, ict, skills"
21,FSc Maths Revision,Matric,Beginner,FSc Maths Revision course focused on Pakistani syllabus and exam preparation.,"fsc, maths, revision"
22,General Knowledge Booster,Freelancing,Intermediate,General Knowledge Booster course focused on Pakistani syllabus and exam preparation.,"general, knowledge, booster"
23,Urdu Essay Writing,Freelancing,Intermediate,Urdu Essay Writing course focused on Pakistani syllabus and exam preparation.,"urdu, essay, writing"
24,Interview Preparation for Govt Jobs,Freelancing,Intermediate,Interview Preparation for Govt Jobs course focused on Pakistani syllabus and exam preparation.,"interview, preparation, for, govt, jobs"
25,NUMS Biology Practice,Medical,Advanced,NUMS Biology Practice course focused on Pakistani syllabus and exam preparation.,"nums, biology, practice"
26,Typing Tutor,CSS,Beginner,Typing Tutor course focused on Pakistani syllabus and exam preparation.,"typing, tutor"
27,MS Excel for Beginners,Language,Beginner,MS Excel for Beginners course focused on Pakistani syllabus and exam preparation.,"ms, excel, for, beginners"
28,Digital Marketing 101,Medical,Advanced,Digital Marketing 101 course focused on Pakistani syllabus and exam preparation.,"digital, marketing, 101"
29,Content Writing Freelance,Computer Skills,Intermediate,Content Writing Freelance course focused on Pakistani syllabus and exam preparation.,"content, writing, freelance"
30,PST/JST Teacher Entry Test,CSS,Intermediate,PST/JST Teacher Entry Test course focused on Pakistani syllabus and exam preparation.,"pst/jst, teacher, entry, test"
31,KPK Board Chemistry,Matric,Intermediate,KPK Board Chemistry course focused on Pakistani syllabus and exam preparation.,"kpk, board, chemistry"
32,Sindh Board Physics,CSS,Beginner,Sindh Board Physics course focused on Pakistani syllabus and exam preparation.,"sindh, board, physics"
33,10th Class Urdu,CSS,Beginner,10th Class Urdu course focused on Pakistani syllabus and exam preparation.,"10th, class, urdu"
34,9th Class Biology,General Test,Advanced,9th Class Biology course focused on Pakistani syllabus and exam preparation.,"9th, class, biology"
35,FSc Pre-Engineering Maths,CSS,Beginner,FSc Pre-Engineering Maths course focused on Pakistani syllabus and exam preparation.,"fsc, pre-engineering, maths"
36,Verbal Reasoning,Matric,Intermediate,Verbal Reasoning course focused on Pakistani syllabus and exam preparation.,"verbal, reasoning"
37,Pakistan Affairs Deep Dive,Freelancing,Intermediate,Pakistan Affairs Deep Dive course focused on Pakistani syllabus and exam preparation.,"pakistan, affairs, deep, dive"
38,MCQs for NTS Exams,Language,Intermediate,MCQs for NTS Exams course focused on Pakistani syllabus and exam preparation.,"mcqs, for, nts, exams"
39,Everyday Science CSS,Medical,Intermediate,Everyday Science CSS course focused on Pakistani syllabus and exam preparation.,"everyday, science, css"
40,Interview Skills Advanced,General Test,Beginner,Interview Skills Advanced course focused on Pakistani syllabus and exam preparation.,"interview, skills, advanced"
41,English Vocabulary Builder,Freelancing,Beginner,English Vocabulary Builder course focused on Pakistani syllabus and exam preparation.,"english, vocabulary, builder"
42,General Science for Matric,Language,Advanced,General Science for Matric course focused on Pakistani syllabus and exam preparation.,"general, science, for, matric"
43,CSS Pakistan Affairs,Matric,Beginner,CSS Pakistan Affairs course focused on Pakistani syllabus and exam preparation.,"css, pakistan, affairs"
44,Punjab Board English Grammar,Engineering,Beginner,Punjab Board English Grammar course focused on Pakistani syllabus and exam preparation.,"punjab, board, english, grammar"
45,NAT Test Preparation,CSS,Beginner,NAT Test Preparation course focused on Pakistani syllabus and exam preparation.,"nat, test, preparation"
46,Customs Inspector Preparation,CSS,Intermediate,Customs Inspector Preparation course focused on Pakistani syllabus and exam preparation.,"customs, inspector, preparation"
47,FPSC Test Guide,Medical,Intermediate,FPSC Test Guide course focused on Pakistani syllabus and exam preparation.,"fpsc, test, guide"
48,NUMS Chemistry Practice,Language,Intermediate,NUMS Chemistry Practice course focused on Pakistani syllabus and exam preparation.,"nums, chemistry, practice"
49,CSS Islamiat Preparation,CSS,Advanced,CSS Islamiat Preparation course focused on Pakistani syllabus and exam preparation.,"css, islamiat, preparation"
50,Class 9 Computer Science,Freelancing,Intermediate,Class 9 Computer Science course focused on Pakistani syllabus and exam preparation.,"class, 9, computer, science"
51,Class 10 Chemistry,Language,Advanced,Class 10 Chemistry course focused on Pakistani syllabus and exam preparation.,"class, 10, chemistry"
52,Nursing Entry Test,Language,Advanced,Nursing Entry Test course focused on Pakistani syllabus and exam preparation.,"nursing, entry, test"
53,IT Officer Test Preparation,Computer Skills,Beginner,IT Officer Test Preparation course focused on Pakistani syllabus and exam preparation.,"it, officer, test, preparation"
